Variable Name,Variable Label,Answer Label,Answer Code,Variable Type
l2_04_c,"L4.C. other vegetables, such as tomatoes, white cabbage, eggplant, lady finger, ",Open ended,,Numeric
l2_05_a,"L5.A. Rice {For your selected child under 2 years, did your child eat these food",,,Numeric
,,Yes,1,
,,No,2,
l2_05_b,"L5.B. Rice {For your own consumption, did you eat these foods in the last 24h?}",,,Numeric
,,Yes,1,
,,No,2,
l2_05_c,"L5.C. Rice {In your household, over the last 7 days, how many days did members o",Open ended,,Numeric
l2_06_a,"L6.A. breads/rotis, sweet potato, potato, noodles (including instant) {For your ",,,Numeric
,,Yes,1,
,,No,2,
l2_06_b,"L6.B. breads/rotis, sweet potato, potato, noodles (including instant) {For your ",,,Numeric
,,Yes,1,
,,No,2,
l2_06_c,"L6.C. breads/rotis, sweet potato, potato, noodles (including instant) {In your h",Open ended,,Numeric
l2_07_a,"L7.A. Bean (such as butter beans, lima beans, lablab beans, mung beans) peas (su",,,Numeric
,,Yes,1,
,,No,2,
l2_07_b,"L7.B. Bean (such as butter beans, lima beans, lablab beans, mung beans) peas (su",,,Numeric
,,Yes,1,
,,No,2,
l2_07_c,"L7.C. Bean (such as butter beans, lima beans, lablab beans, mung beans) peas (su",Open ended,,Numeric
l2_08_a,"L8.A. nuts or seeds, such as groundnut, sesame, cashew, sunflower seeds, pumpkin",,,Numeric
,,Yes,1,
,,No,2,
l2_08_b,"L8.B. nuts or seeds, such as groundnut, sesame, cashew, sunflower seeds, pumpkin",,,Numeric
,,Yes,1,
,,No,2,
l2_08_c,"L8.C. nuts or seeds, such as groundnut, sesame, cashew, sunflower seeds, pumpkin",Open ended,,Numeric
l2_09_a,"L9.A. milk and other dairy products (cheese, milk (powder/liquid), infant formul",,,Numeric
,,Yes,1,
,,No,2,
l2_09_b,"L9.B. milk and other dairy products (cheese, milk (powder/liquid), infant formul",,,Numeric
,,Yes,1,
,,No,2,
l2_09_c,"L9.C. milk and other dairy products (cheese, milk (powder/liquid), infant formul",Open ended,,Numeric
l2_10_a,"L10.A. Fish, canned fish, dried fish, praw, dried prawn or other seafood (includ",,,Numeric
,,Yes,1,
,,No,2,
l2_10_b,"L10.B. Fish, canned fish, dried fish, praw, dried prawn or other seafood (includ",,,Numeric
,,Yes,1,
,,No,2,
l2_10_c,"L10.C. Fish, canned fish, dried fish, praw, dried prawn or other seafood (includ",Open ended,,Numeric
l2_11_a,"L11.A. Poultry, pork, mutton, beef or other  or meat or organs (liver, kidney, h",,,Numeric
,,Yes,1,
,,No,2,
l2_11_b,"L11.B. Poultry, pork, mutton, beef or other  or meat or organs (liver, kidney, h",,,Numeric
,,Yes,1,
,,No,2,
l2_11_c,"L11.C. Poultry, pork, mutton, beef or other  or meat or organs (liver, kidney, h",Open ended,,Numeric
l2_12_a,"L12.A. Eggs (chicken, duck, quail) {For your selected child under 2 years, did y",,,Numeric
,,Yes,1,
,,No,2,
l2_12_b,"L12.B. Eggs (chicken, duck, quail) {For your own consumption, did you eat these ",,,Numeric
,,Yes,1,
,,No,2,
l2_12_c,"L12.C. Eggs (chicken, duck, quail) {In your household, over the last 7 days, how",Open ended,,Numeric
l2_13_a,"L13.A. orange or dark yellow colored fruits, such as ripe mango, ripe papaya, ri",,,Numeric
,,Yes,1,
,,No,2,
l2_13_b,"L13.B. orange or dark yellow colored fruits, such as ripe mango, ripe papaya, ri",,,Numeric
,,Yes,1,
,,No,2,
l2_13_c,"L13.C. orange or dark yellow colored fruits, such as ripe mango, ripe papaya, ri",Open ended,,Numeric
l2_14_a,"L14.A. Other fruits (incl. regular banana, pineapple, water melon, avocado etc.)",,,Numeric
,,Yes,1,
,,No,2,
l2_14_b,"L14.B. Other fruits (incl. regular banana, pineapple, water melon, avocado etc.)",,,Numeric
,,Yes,1,
,,No,2,
l2_14_c,"L14.C. Other fruits (incl. regular banana, pineapple, water melon, avocado etc.)",Open ended,,Numeric
l2_15_c,"L15.C. Sugar food consumption (sweets, chocolates, cake, fruit jam) & Sugary dri",Open ended,,Numeric
l2_16_c,"L16.C. Oils or fats (vegetable oils, butter, ghee, animal fats) {In your househo",Open ended,,Numeric
m_01_01,M.01. Who is the main responsible for food purchases in the household? : Respond,,,Numeric
,,Yes,1,
,,No,2,
m_01_02,M.01. Who is the main responsible for food purchases in the household? : Spouse ,,,Numeric
,,Yes,1,
,,No,2,
m_01_03,M.01. Who is the main responsible for food purchases in the household? : Other h,,,Numeric
,,Yes,1,
,,No,2,
m_01_98,M.01. Who is the main responsible for food purchases in the household? : Don’t k,,,Numeric
,,Yes,1,
,,No,2,
m_02,"M.02. During the past 7 days , could you tell me how much in total you and any o",,,long
,,Don't Know,9998,
m_03,"M.03. During the past 7 days, how much did you and your household members spend ",,,long
,,Don't Know,9998,
m_04,"M.04. During the past 7 days, did you or any household member consume anything f",,,Numeric
,,Yes,1,
,,No,2,
m_05,"M.05. During the past 7 days, could you tell me the total value of food you and ",,,long
,,Don't Know,9998,
m_06,"M.06. During the past 7 days, did you or any other household member consume any ",,,Numeric
,,Yes,1,
,,No,2,
m_07,"M.07. During the past 7 days, could you tell me the total value of food you and ",,,long
,,Don't Know,9998,
n_01,"N.01. In the past 4 weeks, was there ever no food to eat of any kind in your hou",,,Integer
,,Yes,1,
,,No,2,
n_02,N.02. How often did this happen in the past four weeks?,,,Numeric
,,Rarely (1–2 times),1,
,,Sometimes (3–10 times),2,
,,Often (more than 10 times),3,
n_03,"N.03. In the past 4 weeks, did you or any household member go to sleep at night ",,,Integer
,,Yes,1,
,,No,2,
n_04,N.04. How often did this happen in the past four weeks?,,,Numeric
,,Rarely (1–2 times),1,
,,Sometimes (3–10 times),2,
,,Often (more than 10 times),3,
n_05,"N.05. In the past 4 weeks, did you or any household member go a whole day and ni",,,Integer
,,Yes,1,
,,No,2,
n_06,N.06. How often did this happen in the past four weeks?,,,Numeric
,,Rarely (1–2 times),1,
,,Sometimes (3–10 times),2,
,,Often (more than 10 times),3,
o_01_00,No problems,,,Numeric
,,Yes,1,
,,No,2,
o_01_01,ATM not working,,,Numeric
,,Yes,1,
,,No,2,
o_01_02,Bank closed or no cash,,,Numeric
,,Yes,1,
,,No,2,
o_01_03,Only limited amount can be withdrawn,,,Numeric
,,Yes,1,
,,No,2,
o_01_04,Had to pay agent fees to obtain cash,,,Numeric
,,Yes,1,
,,No,2,
o_01_05,Had to take time off work,,,Numeric
,,Yes,1,
,,No,2,
o_01_06,Other problems,,,Numeric
,,Yes,1,
,,No,2,
o_01_96,Not applicable (did not want to take out cash),,,Numeric
,,Yes,1,
,,No,2,
o_01_97,Don't want to answer,,,Numeric
,,Yes,1,
,,No,2,
o_01_98,Don't Know,,,Numeric
,,Yes,1,
,,No,2,
o_02,"O.02. In the last 4 weeks30 days , did you or any other household member need me",,,Numeric
,,Yes,1,
,,No,2,
o_03,"O.03. If yes, were you able to access these services?",,,Numeric
,,"yes, any time I wanted to use medical services",1,
,,most of the time,2,
,,only a few times,3,
,,"no, never in the last",4,
o_04,O.04. In the past 4 weeks were your school-age children (5-14 years) able to att,,,Integer
,,"yes, all my children",1,
,,only some of my children,2,
,,None of our children attended school,3,
,,Don’t Know,9998,
o_05,"O.05. In the last 4 weeks, did you or any member of your household use the inter",,,Numeric
,,"yes, any time I wanted to use the internet",1,
,,most of the time,2,
,,only a few times,3,
,,"no, never in the last",4,
o_06,O.06. What was the reason for not using the internet or not using it as much as ,,,Numeric
,,no money for data / no working mobile phone,1,
,,internet services disruptions in the area,2,
,,electricity access/service problems,3,
,,no interest or not knowledgeable to use internet,4,
,,Other reasons,5,
q_00,Q.00. Language used in interviewing,,,Numeric
,,Myanmar,1,
,,Kachin,2,
,,Chin,3,
,,Kayin,4,
,,Shan,5,
,,Rakhine,6,
q_01,Q.01. Who responded to this interview?,,,Numeric
,,respondent only (as recorded with info from section B),1,
,,respondent (as in section B) and other household members jointly,2,
,,"respondent was changed during the interview or for some sections of the interview, different from the person recorded…",3,
q_02_01,Q.02. Which modules were answered by a different respondent? Module A,,,Numeric
,,Yes,1,
,,No,2,
q_02_02,Q.02. Which modules were answered by a different respondent? Module B,,,Numeric
,,Yes,1,
,,No,2,
q_02_03,Q.02. Which modules were answered by a different respondent? Module C,,,Numeric
,,Yes,1,
,,No,2,
q_02_04,Q.02. Which modules were answered by a different respondent? Module D,,,Numeric
,,Yes,1,
,,No,2,
q_02_05,Q.02. Which modules were answered by a different respondent? Module E,,,Numeric
,,Yes,1,
,,No,2,
q_02_06,Q.02. Which modules were answered by a different respondent? Module F,,,Numeric
,,Yes,1,
,,No,2,
q_02_07,Q.02. Which modules were answered by a different respondent? Module G,,,Numeric
,,Yes,1,
,,No,2,
q_02_08,Q.02. Which modules were answered by a different respondent? Module H,,,Numeric
,,Yes,1,
,,No,2,
q_02_09,Q.02. Which modules were answered by a different respondent? Module I,,,Numeric
,,Yes,1,
,,No,2,
q_02_10,Q.02. Which modules were answered by a different respondent? Module J,,,Numeric
,,Yes,1,
,,No,2,
q_02_11,Q.02. Which modules were answered by a different respondent? Module K,,,Numeric
,,Yes,1,
,,No,2,
q_02_12,Q.02. Which modules were answered by a different respondent? Module L,,,Numeric
,,Yes,1,
,,No,2,
q_02_13,Q.02. Which modules were answered by a different respondent? Module M,,,Numeric
,,Yes,1,
,,No,2,
q_02_14,Q.02. Which modules were answered by a different respondent? Module N,,,Numeric
,,Yes,1,
,,No,2,
q_02_15,Q.02. Which modules were answered by a different respondent? Module O,,,Numeric
,,Yes,1,
,,No,2,
q_02_16,Q.02. Which modules were answered by a different respondent? Module P,,,Numeric
,,Yes,1,
,,No,2,
